Agency Name,State Name [District] Latest available year,Agency ID,County Name [District] 2010-11,State Abbr [District] Latest available year,Agency Name [District] 2010-11
SAUGERTIES CENTRAL SCHOOL DISTRICT,New York,3625800,ULSTER COUNTY,NY ,SAUGERTIES CENTRAL SCHOOL DISTRICT
SAUGUS,Massachusetts,2510500,ESSEX COUNTY,MA ,SAUGUS
SAUGUS UNION,California,635970,LOS ANGELES COUNTY,CA ,SAUGUS UNION
SAUK CENTRE PUBLIC SCHOOL DISTRICT,Minnesota,2732850,STEARNS COUNTY,MN ,SAUK CENTRE PUBLIC SCHOOL DISTRICT
SAUK PRAIRIE SCHOOL DISTRICT,Wisconsin,5513410,SAUK COUNTY,WI ,SAUK PRAIRIE SCHOOL DISTRICT
SAUK RAPIDS-RICE PUBLIC SCHOOLS,Minnesota,2732880,BENTON COUNTY,MN ,SAUK RAPIDS-RICE PUBLIC SCHOOLS
SAULT STE. MARIE AREA SCHOOLS,Michigan,2630990,CHIPPEWA COUNTY,MI ,SAULT STE. MARIE AREA SCHOOLS
SAUNEMIN CCSD 438,Illinois,1700065,LIVINGSTON COUNTY,IL ,SAUNEMIN CCSD 438
SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT,New York,3600002,ONEIDA COUNTY,NY ,SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT
SAUSALITO MARIN CITY,California,636000,MARIN COUNTY,CA ,SAUSALITO MARIN CITY
SAVAGE ELEM,Montana,3023520,RICHLAND COUNTY,MT ,SAVAGE ELEM
SAVAGE H S,Montana,3023550,RICHLAND COUNTY,MT ,SAVAGE H S
SAVANNA,Oklahoma,4027000,PITTSBURG COUNTY,OK ,SAVANNA
SAVANNA ELEM,California,636030,ORANGE COUNTY,CA ,SAVANNA ELEMENTARY
SAVANNAH R-III,Missouri,2927570,ANDREW COUNTY,MO ,SAVANNAH R-III
SAVOY,Massachusetts,2510530,BERKSHIRE COUNTY,MA ,SAVOY
SAVOY ISD,Texas,4839450,FANNIN COUNTY,TX ,SAVOY ISD
SAWYER 16,North Dakota,3816470,WARD COUNTY,ND ,SAWYER 16
SAYDEL COMM SCHOOL DISTRICT,Iowa,1925320,POLK COUNTY,IA ,SAYDEL COMM SCHOOL DISTRICT
SAYRE,Oklahoma,4027060,BECKHAM COUNTY,OK ,SAYRE
SAYRE AREA SD,Pennsylvania,4220850,BRADFORD COUNTY,PA ,SAYRE AREA SD
SAYREVILLE PUBLIC SCHOOLS,New Jersey,3414640,MIDDLESEX COUNTY,NJ ,SAYREVILLE
SAYVILLE UNION FREE SCHOOL DISTRICT,New York,3625920,SUFFOLK COUNTY,NY ,SAYVILLE UNION FREE SCHOOL DISTRICT
SBC - ASPIRE PUBLIC SCHOOLS,California,601324,ALAMEDA COUNTY,CA ,SBC - ASPIRE PUBLIC SCHOOLS
SBC - HIGH TECH HIGH,California,601322,SAN DIEGO COUNTY,CA ,SBC - HIGH TECH HIGH
SBC - PACIFIC TECHNOLOGY,California,601335,ORANGE COUNTY,CA ,SBC - PACIFIC TECHNOLOGY
SBE - ASPIRE VANGUARD COLLEGE PREPARATORY ACADEMY,California,601342,ALAMEDA COUNTY,CA ,SBE - ASPIRE VANGUARD COLLEGE PREPARATORY ACADEMY
SBE - BARACK OBAMA CHARTER,California,601336,LOS ANGELES COUNTY,CA ,SBE - BARACK OBAMA CHARTER
SBE - CALIFORNIA COLLEGE CAREER & T,California,601413,YOLO COUNTY,CA ,SBE - CALIFORNIA COLLEGE CAREER & TECHNICAL EDUCATION CTR
SBE - DIXON MONTESSORI CHARTER,California,601340,SOLANO COUNTY,CA ,SBE - DIXON MONTESSORI CHARTER
SBE - DORIS TOPSY-ELVORD ACADEMY,California,601333,LOS ANGELES COUNTY,CA ,SBE - DORIS TOPSY-ELVORD ACADEMY
SBE - EDISON CHARTER ACADEMY,California,600072,SAN FRANCISCO COUNTY,CA ,SBE - EDISON CHARTER ACADEMY
SBE - EVEREST PUBLIC HIGH,California,601334,SAN MATEO COUNTY,CA ,SBE - EVEREST PUBLIC HIGH
SBE - INGENIUM CHARTER,California,601345,LOS ANGELES COUNTY,CA ,SBE - INGENIUM CHARTER
SBE - LIFELINE EDUCATION CHARTER,California,601323,LOS ANGELES COUNTY,CA ,SBE - LIFELINE EDUCATION CHARTER
SBE - LIVERMORE VALLEY CHARTER,California,600151,ALAMEDA COUNTY,CA ,SBE - LIVERMORE VALLEY CHARTER
SBE - LIVERMORE VALLEY CHARTER PREPARATORY HIGH,California,601344,ALAMEDA COUNTY,CA ,SBE - LIVERMORE VALLEY CHARTER PREPARATORY HIGH
SBE - LONG VALLEY CHARTER,California,601408,LASSEN COUNTY,CA ,SBE - LONG VALLEY CHARTER
SBE - MISSION PREPARATORY,California,601412,SAN FRANCISCO COUNTY,CA ,SBE - MISSION PREPARATORY
SBE - NEW WEST CHARTER,California,600134,LOS ANGELES COUNTY,CA ,SBE - NEW WEST CHARTER MIDDLE
SBE - RIDGECREST CHARTER,California,600071,KERN COUNTY,CA ,SBE - RIDGECREST CHARTER
SBE - RIVER MONTESSORI ELEM CHARTER,California,601338,SONOMA COUNTY,CA ,SBE - RIVER MONTESSORI ELEMENTARY CHARTER
SBE - SAN FRANCISCO FLEX ACADEMY,California,601411,SAN FRANCISCO COUNTY,CA ,SBE - SAN FRANCISCO FLEX ACADEMY
SBE - THE SCHOOL OF ARTS AND ENTERPRISE,California,600136,LOS ANGELES COUNTY,CA ,SBE - THE SCHOOL OF ARTS AND ENTERPRISE
SBE - TODAY'S FRESH START CHARTER,California,601407,LOS ANGELES COUNTY,CA ,SBE - TODAY'S FRESH START CHARTER
SBE - WESTERN SIERRA COLLEGIATE ACADEMY,California,601337,PLACER COUNTY,CA ,SBE - WESTERN SIERRA COLLEGIATE ACADEMY
SC JENSEN CORPORATION  INC. DBA INTELLI-SCHOOL,Arizona,400363,MARICOPA COUNTY,AZ ,SC JENSEN CORPORATION  INC. DBA INTELLI-SCHOOL
SC PUBLIC CHARTER SCHOOL DISTRICT,South Carolina,4503901,RICHLAND COUNTY,SC ,SC PUBLIC CHARTER SCHOOL DISTRICT
SCALES MOUND CUSD 211,Illinois,1735610,JO DAVIESS COUNTY,IL ,SCALES MOUND CUSD 211
SCAPPOOSE SD 1J,Oregon,4110980,COLUMBIA COUNTY,OR ,SCAPPOOSE SD 1J
SCARBOROUGH SCHOOL DEPARTMENT,Maine,2310530,CUMBERLAND COUNTY,ME ,SCARBOROUGH SCHOOL DEPARTMENT
SCARSDALE UNION FREE SCHOOL DISTRICT,New York,3625950,WESTCHESTER COUNTY,NY ,SCARSDALE UNION FREE SCHOOL DISTRICT
SCH ASSOC SPED EDUC DUPAGE SASED,Illinois,1700215,DUPAGE COUNTY,IL ,SCH ASSOC SPED EDUC DUPAGE SASED
SCHALLER-CRESTLAND COMM SCHOOL DISTRICT,Iowa,1925380,SAC COUNTY,IA ,SCHALLER-CRESTLAND COMM SCHOOL DISTRICT
SCHALMONT CENTRAL SCHOOL DISTRICT,New York,3625980,SCHENECTADY COUNTY,NY ,SCHALMONT CENTRAL SCHOOL DISTRICT
SCHAUMBURG CCSD 54,Illinois,1734740,COOK COUNTY,IL ,SCHAUMBURG CCSD 54
SCHENECTADY CITY SCHOOL DISTRICT,New York,3626010,SCHENECTADY COUNTY,NY ,SCHENECTADY CITY SCHOOL DISTRICT
SCHENEVUS CENTRAL SCHOOL DISTRICT,New York,3603060,OTSEGO COUNTY,NY ,SCHENEVUS CENTRAL SCHOOL DISTRICT
SCHERTZ-CIBOLO-U CITY ISD,Texas,4839480,GUADALUPE COUNTY,TX ,SCHERTZ-CIBOLO-U CITY ISD
SCHILLER PARK SD 81,Illinois,1735640,COOK COUNTY,IL ,SCHILLER PARK SD 81
SCHLEICHER ISD,Texas,4839510,SCHLEICHER COUNTY,TX ,SCHLEICHER ISD
SCHLESWIG COMM SCHOOL DISTRICT,Iowa,1925410,CRAWFORD COUNTY,IA ,SCHLESWIG COMM SCHOOL DISTRICT
SCHLEY COUNTY,Georgia,1304470,SCHLEY COUNTY,GA ,SCHLEY COUNTY
SCHNEE LEARNING CENTER,Ohio,3900385,SUMMIT COUNTY,OH ,SCHNEE LEARNING CENTER
SCHODACK CENTRAL SCHOOL DISTRICT,New York,3626070,RENSSELAER COUNTY,NY ,SCHODACK CENTRAL SCHOOL DISTRICT
SCHOHARIE CENTRAL SCHOOL DISTRICT,New York,3626100,SCHOHARIE COUNTY,NY ,SCHOHARIE CENTRAL SCHOOL DISTRICT
SCHOLARTS PREPARATORY AND CAREER CENTER FOR CHILDREN,Ohio,3900487,FRANKLIN COUNTY,OH ,SCHOLARTS PREPARATORY AND CAREER CENTER FOR CHILDREN
SCHOMBURG CHARTER SCHOOL,New Jersey,3400067,HUDSON COUNTY,NJ ,SCHOMBURG CHARTER SCHOOL
SCHOOL ADMINISTRATIVE UNIT #70,Vermont,5099955,GRAFTON COUNTY,VT ,SAU 70
SCHOOL CITY OF EAST CHICAGO,Indiana,1802880,LAKE COUNTY,IN ,SCHOOL CITY OF EAST CHICAGO
SCHOOL CITY OF HAMMOND,Indiana,1804320,LAKE COUNTY,IN ,SCHOOL CITY OF HAMMOND
SCHOOL CITY OF HOBART,Indiana,1804590,LAKE COUNTY,IN ,SCHOOL CITY OF HOBART
SCHOOL CITY OF MISHAWAKA,Indiana,1806840,ST. JOSEPH COUNTY,IN ,SCHOOL CITY OF MISHAWAKA
SCHOOL DISTRICT N. 14 IN THE COUNTY OF ADAMS & STATE OF COLO,Colorado,801950,ADAMS COUNTY,CO ,SCHOOL DISTRICT N. 14 IN THE COUNTY OF ADAMS & STATE OF COLO
SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,Colorado,803360,DENVER COUNTY,CO ,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C
SCHOOL DISTRICT NO. 3 IN THE COUNTY OF EL PASO AND STATE OF,Colorado,806480,EL PASO COUNTY,CO ,SCHOOL DISTRICT NO. 3 IN THE COUNTY OF EL PASO AND STATE OF
SCHOOL DISTRICT NO. C-1 IN THE COUNTY OF ELBERT AND STATE O,Colorado,803720,ELBERT COUNTY,CO ,SCHOOL DISTRICT NO. C-1 IN THE COUNTY OF ELBERT AND STATE O
SCHOOL DISTRICT NO. C-2 IN THE COUNTY OF ELBERT AND STATE OF,Colorado,805010,ELBERT COUNTY,CO ,SCHOOL DISTRICT NO. C-2 IN THE COUNTY OF ELBERT AND STATE OF
SCHOOL DISTRICT NO. R-4 IN THE COUNTY OF KIT CARSON AND STAT,Colorado,806780,KIT CARSON COUNTY,CO ,SCHOOL DISTRICT NO. R-4 IN THE COUNTY OF KIT CARSON AND STAT
SCHOOL DISTRICT NO. RE-1 VALLEY,Colorado,806690,LOGAN COUNTY,CO ,SCHOOL DISTRICT NO. RE-1 VALLEY
SCHOOL DISTRICT NO. RE-11 IN THE COUNTY OF WELD AND STATE OF,Colorado,806720,WELD COUNTY,CO ,SCHOOL DISTRICT NO. RE-11 IN THE COUNTY OF WELD AND STATE OF
SCHOOL DISTRICT NO. RE-12 IN THE COUNTY OF WELD AND STATE OF,Colorado,804440,WELD COUNTY,CO ,SCHOOL DISTRICT NO. RE-12 IN THE COUNTY OF WELD AND STATE OF
SCHOOL DISTRICT NO. RE-2 BRUSH,Colorado,802610,MORGAN COUNTY,CO ,SCHOOL DISTRICT NO. RE-2 BRUSH
SCHOOL DISTRICT NO. RE-20 WELDON VALLEY,Colorado,807140,MORGAN COUNTY,CO ,SCHOOL DISTRICT NO. RE-20 WELDON VALLEY
SCHOOL DISTRICT NO. RE-3 FRENCHMAN,Colorado,803930,LOGAN COUNTY,CO ,SCHOOL DISTRICT NO. RE-3 FRENCHMAN
SCHOOL DISTRICT NO. RE-3 FORT MORGAN,Colorado,804050,MORGAN COUNTY,CO ,SCHOOL DISTRICT NO. RE-3 FORT MORGAN
SCHOOL DISTRICT NO. RE-4 BUFFALO,Colorado,805640,LOGAN COUNTY,CO ,SCHOOL DISTRICT NO. RE-4 BUFFALO
SCHOOL DISTRICT NO. RE-5 PLATEAU,Colorado,806030,LOGAN COUNTY,CO ,SCHOOL DISTRICT NO. RE-5 PLATEAU
SCHOOL DISTRICT NO. RE-50 WIGGINS,Colorado,807290,MORGAN COUNTY,CO ,SCHOOL DISTRICT NO. RE-50 WIGGINS
SCHOOL DISTRICT OF THE CITY OF BIRMINGHAM,Michigan,2605850,OAKLAND COUNTY,MI ,BIRMINGHAM CITY SCHOOL DISTRICT
SCHOOL DISTRICT OF THE CITY OF INKSTER,Michigan,2619140,WAYNE COUNTY,MI ,SCHOOL DISTRICT OF THE CITY OF INKSTER
SCHOOL DISTRICT OF THE CITY OF ROYAL OAK,Michigan,2630300,OAKLAND COUNTY,MI ,SCHOOL DISTRICT OF THE CITY OF ROYAL OAK
SCHOOL DISTRICT OF YPSILANTI,Michigan,2636630,WASHTENAW COUNTY,MI ,SCHOOL DISTRICT OF YPSILANTI
SCHOOL FOR A NEW MILLENNIUM  INC.,Louisiana,2200139,EAST BATON ROUGE PARISH,LA ,SCHOOL FOR A NEW MILLENNIUM  INC.
SCHOOL FOR ARTS IN LEARNING PCS (SAIL),District of Columbia,1100021,DISTRICT OF COLUMBIA,DC ,SCHOOL FOR ARTS IN LEARNING PCS (SAIL)
SCHOOL FOR BLIND,Kansas,2000018,WYANDOTTE COUNTY,KS ,SCHOOL FOR BLIND
SCHOOL FOR DEAF,Kansas,2000019,JOHNSON COUNTY,KS ,SCHOOL FOR DEAF
SCHOOL FOR EARLY DEVELOPMENT AND ACHIEVEMENT (SEDA) AGENCY,Wisconsin,5500043,MILWAUKEE COUNTY,WI ,SCHOOL FOR EARLY DEVELOPMENT AND ACHIEVEMENT (SEDA) AGENCY
SCHOOL FOR EDUCATIONAL EVOLUTION AND DEVELOPMENT SEED PCS,District of Columbia,1100022,DISTRICT OF COLUMBIA,DC ,SEED PCS
SCHOOL LANE CS,Pennsylvania,4200030,BUCKS COUNTY,PA ,SCHOOL LANE CS
SCHOOL OF DREAMS ACADEMY,New Mexico,3500112,VALENCIA COUNTY,NM ,SCHOOL OF DREAMS ACADEMY
SCHOOL OF EXCELLENCE IN EDUCATION,Texas,4800062,BEXAR COUNTY,TX ,SCHOOL OF EXCELLENCE IN EDUCATION
SCHOOL OF SCIENCE AND TECHNOLOGY,Texas,4800258,BEXAR COUNTY,TX ,SCHOOL OF SCIENCE AND TECHNOLOGY
SCHOOL OF SCIENCE AND TECHNOLOGY CORPUS CHRISTI,Texas,4801396,NUECES COUNTY,TX ,SCHOOL OF SCIENCE AND TECHNOLOGY CORPUS CHRISTI
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,Texas,4801400,BEXAR COUNTY,TX ,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY
SCHOOL OF THE OSAGE,Missouri,2927630,MILLER COUNTY,MO ,SCHOOL OF THE OSAGE
SCHOOL PROJECT UTILITY RATE REDUCTION,California,601365,ALAMEDA COUNTY,CA ,SCHOOL PROJECT UTILITY RATE REDUCTION
SCHOOL TOWN OF HIGHLAND,Indiana,1804560,LAKE COUNTY,IN ,SCHOOL TOWN OF HIGHLAND
SCHOOL TOWN OF MUNSTER,Indiana,1807350,LAKE COUNTY,IN ,SCHOOL TOWN OF MUNSTER
SCHOOL TOWN OF SPEEDWAY,Indiana,1810920,MARION COUNTY,IN ,SCHOOL TOWN OF SPEEDWAY
SCHOOLCRAFT COMMUNITY SCHOOLS,Michigan,2631020,KALAMAZOO COUNTY,MI ,SCHOOLCRAFT COMMUNITY SCHOOLS
SCHOOLCRAFT LEARNING COMMUNITY CHTR,Minnesota,2700225,BELTRAMI COUNTY,MN ,SCHOOLCRAFT LEARNING COMMUNITY CHTR
SCHROON LAKE CENTRAL SCHOOL DISTRICT,New York,3626130,ESSEX COUNTY,NY ,SCHROON LAKE CENTRAL SCHOOL DISTRICT
SCHULENBURG ISD,Texas,4839540,FAYETTE COUNTY,TX ,SCHULENBURG ISD
SCHULTER,Oklahoma,4027090,OKMULGEE COUNTY,OK ,SCHULTER
SCHUYLER CO. R-I,Missouri,2927660,SCHUYLER COUNTY,MO ,SCHUYLER CO. R-I
SCHUYLER COMMUNITY SCHOOLS,Nebraska,3176450,COLFAX COUNTY,NE ,SCHUYLER COMMUNITY SCHOOLS
SCHUYLER-INDUSTRY CUSD 5,Illinois,1700332,SCHUYLER COUNTY,IL ,SCHUYLER-INDUSTRY CUSD 5
SCHUYLER-STEUBEN-CHEMUNG-TIOGA-ALLEGANY BOCES,New York,3680780,STEUBEN COUNTY,NY ,SCHUYLER-STEUBEN-CHEMUNG-TIOGA-ALLEGANY BOCES
SCHUYLERVILLE CENTRAL SCHOOL DISTRICT,New York,3626160,SARATOGA COUNTY,NY ,SCHUYLERVILLE CENTRAL SCHOOL DISTRICT
SCHUYLKILL HAVEN AREA SD,Pennsylvania,4220910,SCHUYLKILL COUNTY,PA ,SCHUYLKILL HAVEN AREA SD
SCHUYLKILL IU 29,Pennsylvania,4289390,SCHUYLKILL COUNTY,PA ,SCHUYLKILL IU 29
SCHUYLKILL TECHNOLOGY CENTERS,Pennsylvania,4280620,SCHUYLKILL COUNTY,PA ,SCHUYLKILL TECHNOLOGY CENTERS
SCHUYLKILL VALLEY SD,Pennsylvania,4220970,BERKS COUNTY,PA ,SCHUYLKILL VALLEY SD
SCI-CAMP HILL,Pennsylvania,4200806,CUMBERLAND COUNTY,PA ,SCI-CAMP HILL
SCI-COAL TOWNSHIP,Pennsylvania,4200807,NORTHUMBERLAND COUNTY,PA ,SCI-COAL TOWNSHIP
SCI-FOREST,Pennsylvania,4200801,FOREST COUNTY,PA ,SCI-FOREST
SCI-HOUTZDALE,Pennsylvania,4200805,CLEARFIELD COUNTY,PA ,SCI-HOUTZDALE
SCI-MUNCY,Pennsylvania,4200802,LYCOMING COUNTY,PA ,SCI-MUNCY
SCI-PINE GROVE,Pennsylvania,4200809,INDIANA COUNTY,PA ,SCI-PINE GROVE
SCI-PITTSBURGH,Pennsylvania,4200820,ALLEGHENY COUNTY,PA ,SCI-PITTSBURGH
SCI-RETREAT,Pennsylvania,4200808,FRANKLIN COUNTY,PA ,SCI-RETREAT
SCI-SOMERSET,Pennsylvania,4200803,SOMERSET COUNTY,PA ,SCI-SOMERSET
SCIENCE HILL INDEPENDENT,Kentucky,2105220,PULASKI COUNTY,KY ,SCIENCE HILL INDEPENDENT
SCIO CENTRAL SCHOOL DISTRICT,New York,3626190,ALLEGANY COUNTY,NY ,SCIO CENTRAL SCHOOL DISTRICT
SCIO SD 95,Oregon,4111040,LINN COUNTY,OR ,SCIO SD 95
SCIOTO COUNTY CAREER TECHNICAL CENTER,Ohio,3905149,SCIOTO COUNTY,OH ,SCIOTO COUNTY CAREER TECHNICAL CENTER
SCIOTO VALLEY LOCAL,Ohio,3904913,PIKE COUNTY,OH ,SCIOTO VALLEY LOCAL
SCIOTOVILLE,Ohio,3900123,SCIOTO COUNTY,OH ,SCIOTOVILLE
SCIOTOVILLE ELEMENTARY ACADEMY,Ohio,3901348,SCIOTO COUNTY,OH ,SCIOTOVILLE ELEMENTARY ACADEMY
SCITUATE,Rhode Island,4400960,PROVIDENCE COUNTY,RI ,SCITUATE
SCITUATE,Massachusetts,2510560,PLYMOUTH COUNTY,MA ,SCITUATE
SCOBEY K-12 SCHOOLS,Montana,3023670,DANIELS COUNTY,MT ,SCOBEY K-12 SCHOOLS
SCOTCH PLAINS-FANWOOD SCHOOL DISTRICT,New Jersey,3414670,UNION COUNTY,NJ ,SCOTCH PLAINS-FANWOOD
SCOTIA UNION ELEM,California,636100,HUMBOLDT COUNTY,CA ,SCOTIA UNION ELEMENTARY
SCOTIA-GLENVILLE CENTRAL SCHOOL DISTRICT,New York,3626310,SCHENECTADY COUNTY,NY ,SCOTIA-GLENVILLE CENTRAL SCHOOL DISTRICT
SCOTLAND CO. R-I,Missouri,2920700,SCOTLAND COUNTY,MO ,SCOTLAND CO. R-I
SCOTLAND COUNTY SCHOOLS,North Carolina,3704200,SCOTLAND COUNTY,NC ,SCOTLAND COUNTY SCHOOLS
SCOTLAND SCH VETERANS CHILDREN,Pennsylvania,4200004,FRANKLIN COUNTY,PA ,SCOTLAND SCH VETERANS CHILDREN
SCOTLAND SCHOOL DISTRICT,Connecticut,903960,WINDHAM COUNTY,CT ,SCOTLAND SCHOOL DISTRICT
SCOTLAND SCHOOL DISTRICT 04-3,South Dakota,4665180,BON HOMME COUNTY,SD ,SCOTLAND SCHOOL DISTRICT 04-3
SCOTT CITY R-I,Missouri,2915450,SCOTT COUNTY,MO ,SCOTT CITY R-I
SCOTT CO PBLC SCHS,Virginia,5103480,SCOTT COUNTY,VA ,SCOTT CO PBLC SCHS
SCOTT CO SCHOOL DIST,Mississippi,2803900,SCOTT COUNTY,MS ,SCOTT CO SCHOOL DIST
SCOTT CO. CENTRAL,Missouri,2921420,SCOTT COUNTY,MO ,SCOTT CO. CENTRAL
SCOTT CO. R-IV,Missouri,2904890,SCOTT COUNTY,MO ,SCOTT CO. R-IV
SCOTT COUNTY,Kentucky,2105260,SCOTT COUNTY,KY ,SCOTT COUNTY
SCOTT COUNTY,Kansas,2000017,SCOTT COUNTY,KS ,SCOTT COUNTY
SCOTT COUNTY,Tennessee,4703720,SCOTT COUNTY,TN ,SCOTT COUNTY
SCOTT COUNTY SCHOOL DISTRICT 1,Indiana,1809990,SCOTT COUNTY,IN ,SCOTT COUNTY SCHOOL DISTRICT 1
SCOTT COUNTY SCHOOL DISTRICT 2,Indiana,1810020,SCOTT COUNTY,IN ,SCOTT COUNTY SCHOOL DISTRICT 2
SCOTT COUNTY SCHOOLS NETWORK (SCSN),Minnesota,2700323,SCOTT COUNTY,MN ,SCOTT COUNTY SCHOOLS NETWORK (SCSN)
SCOTT VALLEY UNF,California,600159,SISKIYOU COUNTY,CA ,SCOTT VALLEY UNIFIED
SCOTT-MORGAN CUSD 2,Illinois,1706600,SCOTT COUNTY,IL ,SCOTT-MORGAN CUSD 2
SCOTTS VALLEY UNF,California,600043,SANTA CRUZ COUNTY,CA ,SCOTTS VALLEY UNIFIED
SCOTTSBLUFF PUBLIC SCHOOLS,Nebraska,3176470,SCOTTS BLUFF COUNTY,NE ,SCOTTSBLUFF PUBLIC SCHOOLS
SCOTTSBORO CITY,Alabama,102940,JACKSON COUNTY,AL ,SCOTTSBORO CITY
SCOTTSDALE HORIZONS CHARTER SCHOOL,Arizona,400059,MARICOPA COUNTY,AZ ,SCOTTSDALE HORIZONS CHARTER SCHOOL
SCOTTSDALE PREPARATORY ACADEMY,Arizona,400747,MARICOPA COUNTY,AZ ,SCOTTSDALE PREPARATORY ACADEMY
SCOTTSDALE UNIFIED DISTRICT,Arizona,407570,MARICOPA COUNTY,AZ ,SCOTTSDALE UNIFIED DISTRICT
SCRANTON 33,North Dakota,3800023,BOWMAN COUNTY,ND ,SCRANTON 33
SCRANTON SCHOOL DISTRICT,Arkansas,512180,LOGAN COUNTY,AR ,SCRANTON SCHOOL DISTRICT
SCRANTON SD,Pennsylvania,4221090,LACKAWANNA COUNTY,PA ,SCRANTON SD
SCRANTON STATE SCHOOL FOR DEAF,Pennsylvania,4200005,LACKAWANNA COUNTY,PA ,SCRANTON STATE SCHOOL FOR DEAF
SCREVEN COUNTY,Georgia,1304500,SCREVEN COUNTY,GA ,SCREVEN COUNTY
SCRIBNER-SNYDER COMMUNITY SCHS,Nebraska,3100076,DODGE COUNTY,NE ,SCRIBNER-SNYDER COMMUNITY SCHS
SCUOLA VITA NUOVA,Missouri,2900019,JACKSON COUNTY,MO ,SCUOLA VITA NUOVA
SCURRY-ROSSER ISD,Texas,4839570,KAUFMAN COUNTY,TX ,SCURRY-ROSSER ISD
SD 45 DUPAGE COUNTY,Illinois,1740350,DUPAGE COUNTY,IL ,SD 45 DUPAGE COUNTY
SD SCH FOR THE BLIND & VISUALLY IMPAIRED,South Dakota,4600029,BROWN COUNTY,SD ,SD SCH FOR THE BLIND & VISUALLY IMPAIRED
SD STATE TREATMENT AND REHABILITATION,South Dakota,4600035,CUSTER COUNTY,SD ,SD STATE TREATMENT AND REHABILITATION
SD U-46,Illinois,1713710,KANE COUNTY,IL ,SD U-46
SE NEIGHBORHOOD SCH OF EXCELLENCE,Indiana,1800033,MARION COUNTY,IN ,SE NEIGHBORHOOD SCH OF EXCELLENCE
SEA BRIGHT,New Jersey,3414700,дус,NJ ,SEA BRIGHT
SEA GIRT BOROUGH PUBLIC SCHOOLS,New Jersey,3414730,MONMOUTH COUNTY,NJ ,SEA GIRT BOROUGH
SEA ISLE CITY,New Jersey,3414760,CAPE MAY COUNTY,NJ ,SEA ISLE CITY
SEABROOK SCHOOL DISTRICT,New Hampshire,3306150,ROCKINGHAM COUNTY,NH ,SEABROOK SCHOOL DISTRICT
SEACOAST CHARTER SCHOOL,New Hampshire,3300031,ROCKINGHAM COUNTY,NH ,SEACOAST CHARTER SCHOOL
SEAFORD SCHOOL DISTRICT,Delaware,1001530,SUSSEX COUNTY,DE ,SEAFORD SCHOOL DISTRICT
SEAFORD UNION FREE SCHOOL DISTRICT,New York,3626400,NASSAU COUNTY,NY ,SEAFORD UNION FREE SCHOOL DISTRICT
SEAGRAVES ISD,Texas,4839600,GAINES COUNTY,TX ,SEAGRAVES ISD
SEALY ISD,Texas,4839630,AUSTIN COUNTY,TX ,SEALY ISD
SEAMAN,Kansas,2011490,SHAWNEE COUNTY,KS ,SEAMAN
SEARCY COUNTY SCHOOL DISTRICT,Arkansas,509480,SEARCY COUNTY,AR ,SEARCY COUNTY SCHOOL DISTRICT
SEARCY SCHOOL DISTRICT,Arkansas,512210,WHITE COUNTY,AR ,SEARCY SCHOOL DISTRICT
SEARSBURG SCHOOL DISTRICT,Vermont,5007200,WINDHAM COUNTY,VT ,SEARSBURG SCHOOL DISTRICT
SEASHORE CHARTER SCHOOLS,Texas,4800289,NUECES COUNTY,TX ,SEASHORE MIDDLE ACAD
SEASHORE LEARNING CTR CHARTER,Texas,4800026,NUECES COUNTY,TX ,SEASHORE LEARNING CTR CHARTER
SEASIDE HEIGHTS SCHOOL DISTRICT,New Jersey,3414790,OCEAN COUNTY,NJ ,SEASIDE HEIGHTS BOROUGH
SEASIDE PARK BOROUGH,New Jersey,3414820,OCEAN COUNTY,NJ ,SEASIDE PARK BOROUGH
SEASIDE SD 10,Oregon,4111100,CLATSOP COUNTY,OR ,SEASIDE SD 10
SEATTLE SCHOOL DISTRICT #1,Washington,5307710,KING COUNTY,WA ,SEATTLE PUBLIC SCHOOLS
SEBASTOPOL UNION ELEM,California,636180,SONOMA COUNTY,CA ,SEBASTOPOL UNION ELEMENTARY
SEBEKA PUBLIC SCHOOL DISTRICT,Minnesota,2732970,WADENA COUNTY,MN ,SEBEKA PUBLIC SCHOOL DISTRICT
SEBOEIS PLT SCHOOL DEPARTMENT,Maine,2300057,PENOBSCOT COUNTY,ME ,SEBOEIS PLT SCHOOL DEPARTMENT
SEBRING LOCAL,Ohio,3904835,MAHONING COUNTY,OH ,SEBRING LOCAL
SECAUCUS BOARD OF EDUCATION,New Jersey,3414850,HUDSON COUNTY,NJ ,SECAUCUS
SEDALIA 200,Missouri,2927830,PETTIS COUNTY,MO ,SEDALIA 200
SEDGWICK CO AREA EDUCATIONAL SERVS,Kansas,2093310,SEDGWICK COUNTY,KS ,SEDGWICK CO AREA EDUCATIONAL SERVS
SEDGWICK PUBLIC SCHOOLS,Kansas,2011550,HARVEY COUNTY,KS ,SEDGWICK PUBLIC SCHOOLS
SEDGWICK SCHOOL DEPARTMENT,Maine,2312140,HANCOCK COUNTY,ME ,SEDGWICK SCHOOL DEPARTMENT
